-647.472961 -609.447876 -41.564697, -618.632874 -425.655701 26.834900, -258.527863 -536.782837 542.585510, -452.296204 509.579956 694.541382, 
-425.655701 26.834900 -258.527863, -536.782837 542.585510 -452.296204, 509.579956 694.541382 -646.682922, -614.138184 -38.371273 -620.408936, 
542.585510 -452.296204 509.579956, 694.541382 -646.682922 -614.138184, -38.371273 -620.408936 -424.505585, 24.990139 -259.835266 -532.314575, 
-646.682922 -614.138184 -38.371273, -620.408936 -424.505585 24.990139, -259.835266 -532.314575 541.805542, -452.778290 509.764618 696.544861, 
-424.505585 24.990139 -259.835266, -532.314575 541.805542 -452.778290, 509.764618 696.544861 -650.284241, -610.277649 -34.807465 -623.654236, 
541.805542 -452.778290 509.764618, 696.544861 -650.284241 -610.277649, -34.807465 -623.654236 -424.171082, 24.197479 -260.195099 -532.424805, 
-650.284241 -610.277649 -34.807465, -623.654236 -424.171082 24.197479, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-424.171082 24.197479 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -651.855225, -607.752441 -38.226891 -627.855652, 
540.645081 -453.025208 507.201630, 690.712524 -651.855225 -607.752441, -38.226891 -627.855652 -422.783508, 25.842783 -261.278839 -534.279480, 
-651.855225 -607.752441 -38.226891, -627.855652 -422.783508 25.842783, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-422.783508 25.842783 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -649.351929, -608.261536 -34.611538 -624.006714, 
541.115967 -451.826447 510.739990, 691.488892 -649.351929 -608.261536, -34.611538 -624.006714 -422.336182, 25.202694 -260.195099 -532.424805, 
-649.351929 -608.261536 -34.611538, -624.006714 -422.336182 25.202694, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-422.336182 25.202694 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -646.958313, -609.190308 -39.399876 -618.881287, 
540.645081 -453.025208 507.201630, 690.712524 -646.958313 -609.190308, -39.399876 -618.881287 -423.941650, 25.215740 -258.527863 -536.782837, 
-646.958313 -609.190308 -39.399876, -618.881287 -423.941650 25.215740, -258.527863 -536.782837 542.585510, -452.296204 509.579956 694.541382, 
-423.941650 25.215740 -258.527863, -536.782837 542.585510 -452.296204, 509.579956 694.541382 -647.598267, -609.896118 -41.015114 -618.576965, 
542.585510 -452.296204 509.579956, 694.541382 -647.598267 -609.896118, -41.015114 -618.576965 -425.671356, 26.067604 -258.527863 -536.782837, 
-647.598267 -609.896118 -41.015114, -618.576965 -425.671356 26.067604, -258.527863 -536.782837 542.585510, -452.296204 509.579956 694.541382, 
-425.671356 26.067604 -258.527863, -536.782837 542.585510 -452.296204, 509.579956 694.541382 -652.846191, -606.897278 -39.162956 -625.165039, 
542.585510 -452.296204 509.579956, 694.541382 -652.846191 -606.897278, -39.162956 -625.165039 -422.641113, 25.367388 -266.722443 -534.420776, 
-652.846191 -606.897278 -39.162956, -625.165039 -422.641113 25.367388, -266.722443 -534.420776 544.236389, -451.748291 505.543610 697.259094, 
-422.641113 25.367388 -266.722443, -534.420776 544.236389 -451.748291, 505.543610 697.259094 -650.182495, -607.776001 -34.334396 -623.097168, 
544.236389 -451.748291 505.543610, 697.259094 -650.182495 -607.776001, -34.334396 -623.097168 -422.003693, 25.193111 -260.195099 -532.424805, 
-650.182495 -607.776001 -34.334396, -623.097168 -422.003693 25.193111, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-422.003693 25.193111 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -651.945923, -606.191895 -36.695427 -625.635132, 
540.645081 -453.025208 507.201630, 690.712524 -651.945923 -606.191895, -36.695427 -625.635132 -420.303589, 23.890146 -266.722443 -534.420776, 
-651.945923 -606.191895 -36.695427, -625.635132 -420.303589 23.890146, -266.722443 -534.420776 544.236389, -451.748291 505.543610 697.259094, 
-420.303589 23.890146 -266.722443, -534.420776 544.236389 -451.748291, 505.543610 697.259094 -651.518677, -605.533813 -38.234028 -627.668640, 
544.236389 -451.748291 505.543610, 697.259094 -651.518677 -605.533813, -38.234028 -627.668640 -420.951263, 27.285244 -261.278839 -534.279480, 
-651.518677 -605.533813 -38.234028, -627.668640 -420.951263 27.285244, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-420.951263 27.285244 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -645.010620, -611.545837 -37.396805 -621.472534, 
541.115967 -451.826447 510.739990, 691.488892 -645.010620 -611.545837, -37.396805 -621.472534 -421.302094, 25.936184 -259.835266 -532.314575, 
-645.010620 -611.545837 -37.396805, -621.472534 -421.302094 25.936184, -259.835266 -532.314575 541.805542, -452.778290 509.764618 696.544861, 
-421.302094 25.936184 -259.835266, -532.314575 541.805542 -452.778290, 509.764618 696.544861 -651.218933, -609.320251 -39.759949 -623.970764, 
541.805542 -452.778290 509.764618, 696.544861 -651.218933 -609.320251, -39.759949 -623.970764 -425.327271, 28.225325 -259.547638 -535.984436, 
-651.218933 -609.320251 -39.759949, -623.970764 -425.327271 28.225325, -259.547638 -535.984436 540.081665, -453.010254 509.660034 694.341248, 
-425.327271 28.225325 -259.547638, -535.984436 540.081665 -453.010254, 509.660034 694.341248 -652.313660, -607.026855 -39.218075 -625.715332, 
